ID;Emissiebronnen;EmissiesNaarLucht;Perioden;EmissiesNaarLucht_1
718;800044;A044114;2016JJ00;17.1
719;800044;A044114;2017JJ00;15.3
720;800044;A044114;2018JJ00;13.6
721;800044;A044114;2019JJ00;11.3
722;800044;A044114;2020JJ00;8.8
723;800044;A044114;2021JJ00;10.4
724;800044;A044114;2022JJ00;10.7
725;800044;A044114;2023JJ00;9.6
726;800044;A044114;2024JJ00;8.1
727;800044;A044114;2025JJ00;8.3
756;800044;A044113;1990JJ00;7.9
757;800044;A044113;1995JJ00;5.3
758;800044;A044113;2000JJ00;3.6
759;800044;A044113;2001JJ00;3.3
760;800044;A044113;2002JJ00;2.9
761;800044;A044113;2003JJ00;3.3
762;800044;A044113;2004JJ00;2.4
763;800044;A044113;2005JJ00;2.1
764;800044;A044113;2006JJ00;2.1
765;800044;A044113;2007JJ00;1.8
766;800044;A044113;2008JJ00;1.7
767;800044;A044113;2009JJ00;0.9
768;800044;A044113;2010JJ00;0.5
769;800044;A044113;2011JJ00;0.4
770;800044;A044113;2012JJ00;0.3
771;800044;A044113;2013JJ00;0.5
772;800044;A044113;2014JJ00;0.5
773;800044;A044113;2015JJ00;0.6
774;800044;A044113;2016JJ00;0.5
775;800044;A044113;2017JJ00;0.4
776;800044;A044113;2018JJ00;0.4
777;800044;A044113;2019JJ00;0.3
778;800044;A044113;2020JJ00;0.3
779;800044;A044113;2021JJ00;0.3
780;800044;A044113;2022JJ00;0.3
781;800044;A044113;2023JJ00;0.3
782;800044;A044113;2024JJ00;0.3
783;800044;A044113;2025JJ00;0.3
784;800044;A051771;1990JJ00;6.0
785;800044;A051771;1995JJ00;4.2
786;800044;A051771;2000JJ00;2.6
787;800044;A051771;2001JJ00;2.5
788;800044;A051771;2002JJ00;2.1
789;800044;A051771;2003JJ00;2.4
790;800044;A051771;2004JJ00;1.7
791;800044;A051771;2005JJ00;1.6
792;800044;A051771;2006JJ00;1.9
793;800044;A051771;2007JJ00;1.3
794;800044;A051771;2008JJ00;1.2
795;800044;A051771;2009JJ00;0.6
796;800044;A051771;2010JJ00;0.4
797;800044;A051771;2011JJ00;0.3
798;800044;A051771;2012JJ00;0.2
799;800044;A051771;2013JJ00;0.3
800;800044;A051771;2014JJ00;0.4
801;800044;A051771;2015JJ00;0.5
802;800044;A051771;2016JJ00;0.4
803;800044;A051771;2017JJ00;0.3
804;800044;A051771;2018JJ00;0.3
805;800044;A051771;2019JJ00;0.3
806;800044;A051771;2020JJ00;0.2
807;800044;A051771;2021JJ00;0.2
808;800044;A051771;2022JJ00;0.2
809;800044;A051771;2023JJ00;0.2
810;800044;A051771;2024JJ00;0.2
811;800044;A051771;2025JJ00;0.2
812;800044;A044108;1990JJ00;11.3
813;800044;A044108;1995JJ00;11.1
814;800044;A044108;2000JJ00;18.0
815;800044;A044108;2001JJ00;15.9
816;800044;A044108;2002JJ00;19.7
817;800044;A044108;2003JJ00;19.8
818;800044;A044108;2004JJ00;12.9
819;800044;A044108;2005JJ00;13.7
820;800044;A044108;2006JJ00;11.9
821;800044;A044108;2007JJ00;8.8
822;800044;A044108;2008JJ00;10.6
823;800044;A044108;2009JJ00;9.8
824;800044;A044108;2010JJ00;10.6
825;800044;A044108;2011JJ00;11.1
826;800044;A044108;2012JJ00;11.0
827;800044;A044108;2013JJ00;9.7
828;800044;A044108;2014JJ00;8.6
829;800044;A044108;2015JJ00;9.4
830;800044;A044108;2016JJ00;8.4
831;800044;A044108;2017JJ00;5.4
832;800044;A044108;2018JJ00;6.1
833;800044;A044108;2019JJ00;5.9
834;800044;A044108;2020JJ00;5.9
835;800044;A044108;2021JJ00;6.6
836;800044;A044108;2022JJ00;6.3
837;800044;A044108;2023JJ00;6.1
838;800044;A044108;2024JJ00;5.4
839;800044;A044108;2025JJ00;5.4
840;305800;A044109;1990JJ00;2300.0
841;305800;A044109;1995JJ00;2000.0
842;305800;A044109;2000JJ00;2000.0
843;305800;A044109;2001JJ00;2000.0
844;305800;A044109;2002JJ00;2100.0
845;305800;A044109;2003JJ00;2000.0
846;305800;A044109;2004JJ00;2100.0
847;305800;A044109;2005JJ00;2200.0
848;305800;A044109;2006JJ00;2100.0
849;305800;A044109;2007JJ00;1900.0
850;305800;A044109;2008JJ00;1900.0
851;305800;A044109;2009JJ00;2000.0
852;305800;A044109;2010JJ00;2100.0
853;305800;A044109;2011JJ00;2000.0
854;305800;A044109;2012JJ00;2100.0
855;305800;A044109;2013JJ00;2200.0
856;305800;A044109;2014JJ00;2200.0
857;305800;A044109;2015JJ00;1900.0
858;305800;A044109;2016JJ00;1700.0
859;305800;A044109;2017JJ00;1800.0
860;305800;A044109;2018JJ00;1700.0
861;305800;A044109;2019JJ00;1500.0
862;305800;A044109;2020JJ00;1500.0
863;305800;A044109;2021JJ00;1400.0
864;305800;A044109;2022JJ00;1200.0
865;305800;A044109;2023JJ00;1100.0
866;305800;A044109;2024JJ00;1100.0
867;305800;A044109;2025JJ00;1100.0
952;305800;A044112;1990JJ00;7.9
953;305800;A044112;1995JJ00;7.0
954;305800;A044112;2000JJ00;5.8
955;305800;A044112;2001JJ00;6.6
956;305800;A044112;2002JJ00;6.3
957;305800;A044112;2003JJ00;5.8
958;305800;A044112;2004JJ00;5.1
959;305800;A044112;2005JJ00;5.2
960;305800;A044112;2006JJ00;5.2
961;305800;A044112;2007JJ00;4.9
962;305800;A044112;2008JJ00;4.8
963;305800;A044112;2009JJ00;2.8
964;305800;A044112;2010JJ00;4.9
965;305800;A044112;2011JJ00;4.8
966;305800;A044112;2012JJ00;5.2
967;305800;A044112;2013JJ00;5.5
968;305800;A044112;2014JJ00;5.8
969;305800;A044112;2015JJ00;5.6
970;305800;A044112;2016JJ00;4.1
971;305800;A044112;2017JJ00;3.7
972;305800;A044112;2018JJ00;3.5
973;305800;A044112;2019JJ00;2.4
974;305800;A044112;2020JJ00;2.5
975;305800;A044112;2021JJ00;1.8
976;305800;A044112;2022JJ00;1.9
977;305800;A044112;2023JJ00;1.3
978;305800;A044112;2024JJ00;1.3
979;305800;A044112;2025JJ00;1.3
980;305800;A044114;1990JJ00;1.5
981;305800;A044114;1995JJ00;0.8
982;305800;A044114;2000JJ00;0.3
983;305800;A044114;2001JJ00;0.4
984;305800;A044114;2002JJ00;0.4
985;305800;A044114;2003JJ00;0.2
986;305800;A044114;2004JJ00;0.2
987;305800;A044114;2005JJ00;0.2
988;305800;A044114;2006JJ00;0.2
989;305800;A044114;2007JJ00;0.2
990;305800;A044114;2008JJ00;0.2
991;305800;A044114;2009JJ00;0.2
992;305800;A044114;2010JJ00;0.3
993;305800;A044114;2011JJ00;0.4
994;305800;A044114;2012JJ00;0.3
995;305800;A044114;2013JJ00;0.4
996;305800;A044114;2014JJ00;0.3
997;305800;A044114;2015JJ00;0.2
998;305800;A044114;2016JJ00;0.1
999;305800;A044114;2017JJ00;0.1
1000;305800;A044114;2018JJ00;0.0
1001;305800;A044114;2019JJ00;0.1
1002;305800;A044114;2020JJ00;0.1
1003;305800;A044114;2021JJ00;0.1
1004;305800;A044114;2022JJ00;0.0
1005;305800;A044114;2023JJ00;0.0
1006;305800;A044114;2024JJ00;0.0
1007;305800;A044114;2025JJ00;0.0
1036;305800;A044113;1990JJ00;0.0
1037;305800;A044113;1995JJ00;0.0
1038;305800;A044113;2000JJ00;0.0
1039;305800;A044113;2001JJ00;0.0
1040;305800;A044113;2002JJ00;0.0
1041;305800;A044113;2003JJ00;0.0
1042;305800;A044113;2004JJ00;0.0
1043;305800;A044113;2005JJ00;0.0
1044;305800;A044113;2006JJ00;0.0
1045;305800;A044113;2007JJ00;0.0
1046;305800;A044113;2008JJ00;0.0
1047;305800;A044113;2009JJ00;0.0
1048;305800;A044113;2010JJ00;0.0
1049;305800;A044113;2011JJ00;0.0
1050;305800;A044113;2012JJ00;0.0
1051;305800;A044113;2013JJ00;0.0
1052;305800;A044113;2014JJ00;0.0
1053;305800;A044113;2015JJ00;0.0
1054;305800;A044113;2016JJ00;0.0
1055;305800;A044113;2017JJ00;0.0
1056;305800;A044113;2018JJ00;0.0
1057;305800;A044113;2019JJ00;0.0
1058;305800;A044113;2020JJ00;0.0
1059;305800;A044113;2021JJ00;0.0
1060;305800;A044113;2022JJ00;0.0
1061;305800;A044113;2023JJ00;0.0
1062;305800;A044113;2024JJ00;0.0
1063;305800;A044113;2025JJ00;0.0
1064;305800;A051771;1990JJ00;0.0
1065;305800;A051771;1995JJ00;0.0
1066;305800;A051771;2000JJ00;0.0
1067;305800;A051771;2001JJ00;0.0
1068;305800;A051771;2002JJ00;0.0
1069;305800;A051771;2003JJ00;0.0
1070;305800;A051771;2004JJ00;0.0
1071;305800;A051771;2005JJ00;0.0
1072;305800;A051771;2006JJ00;0.0
1073;305800;A051771;2007JJ00;0.0
1074;305800;A051771;2008JJ00;0.0
1075;305800;A051771;2009JJ00;0.0
1076;305800;A051771;2010JJ00;0.0
1077;305800;A051771;2011JJ00;0.0
1078;305800;A051771;2012JJ00;0.0
1079;305800;A051771;2013JJ00;0.0
1080;305800;A051771;2014JJ00;0.0
1081;305800;A051771;2015JJ00;0.0
1082;305800;A051771;2016JJ00;0.0
1083;305800;A051771;2017JJ00;0.0
1084;305800;A051771;2018JJ00;0.0
1085;305800;A051771;2019JJ00;0.0
1086;305800;A051771;2020JJ00;0.0
1087;305800;A051771;2021JJ00;0.0
1088;305800;A051771;2022JJ00;0.0
1089;305800;A051771;2023JJ00;0.0
1090;305800;A051771;2024JJ00;0.0
1091;305800;A051771;2025JJ00;0.0
1092;305800;A044108;1990JJ00;1.4
1093;305800;A044108;1995JJ00;2.4
1094;305800;A044108;2000JJ00;1.1
1095;305800;A044108;2001JJ00;1.6
1096;305800;A044108;2002JJ00;1.0
1097;305800;A044108;2003JJ00;1.3
1098;305800;A044108;2004JJ00;1.7
1099;305800;A044108;2005JJ00;1.6
1100;305800;A044108;2006JJ00;1.4
1101;305800;A044108;2007JJ00;0.8
1102;305800;A044108;2008JJ00;0.9
1103;305800;A044108;2009JJ00;0.6
1104;305800;A044108;2010JJ00;0.6
1105;305800;A044108;2011JJ00;0.1
1106;305800;A044108;2012JJ00;0.1
1107;305800;A044108;2013JJ00;0.2
1108;305800;A044108;2014JJ00;0.1
1109;305800;A044108;2015JJ00;0.1
